WHONET Organism Code	Local Organism Code	Organism Name	WHONET Organism Flag
sbm	SALMONELLA BOVISMORBIFICANS	Salmonella Bovismorbificans	
sor	SALMONELLA ORANIENBURG	Salmonella Oranienburg	
lut	STREPTOCOCCUS LUTETIENSIS	Streptococcus lutetiensis	
lla	LACTOCOCCUS LACTIS	Lactococcus lactis	
cth	CANDIDA ORTHOPSILOSIS	Candida orthopsilosis	
ssd	SALMONELLA SANDIEGO	Salmonella Sandiego	
pal	PROVIDENCIA ALCALIFACIENS	Providencia alcalifaciens	
gha	GEMELLA HAEMOLYSANS	Gemella haemolysans	
cpq	CORYNEBACTERIUM PROPINQUUM	Corynebacterium propinquum	
ssn	STREPTOCOCCUS SANGUINIS	Streptococcus sanguinis	
nel	NEISSERIA ELONGATA	Neisseria elongata	
swe	SALMONELLA WELTEVREDEN	Salmonella Weltevreden	
sgy	STREPTOCOCCUS BOVIS I	Streptococcus bovis I	
cas	CAPNOCYTOPHAGA SPUTIGENA	Capnocytophaga sputigena	
dem	DESULFOVIBRIO	Desulfovibrio	
shg	SALMONELLA HEIDELBERG	Salmonella Heidelberg	
hap	HAEMOPHILUS APHROPHILUS	Haemophilus aphrophilus	
bci	BACILLUS CIRCULANS	Bacillus circulans	
pme	PSEUDOMONAS MENDOCINA	Pseudomonas mendocina	
pni	PEPTOCOCCUS NIGER	Peptococcus niger	
for	PSEUDOMONAS ORYZIHABITANS	Pseudomonas oryzihabitans	
eaf	COLLINSELLA AEROFACIENS	Collinsella aerofaciens	
shd	SHIGELLA SONNEI	Shigella sonnei	
ped	PEDIOCOCCUS Sp.	Pediococcus sp.	
phy	ANAEROCOCCUS HYDROGENALIS	Anaerococcus hydrogenalis	
nfl	NEISSERIA FLAVESCENS	Neisseria flavescens	
blo	BIFIDOBACTERIUM LONGUM	Bifidobacterium longum	
mfo	MYCOBACTERIUM FORTUITUM	Mycobacterium fortuitum	
spo	SALMONELLA POONA	Salmonella Poona	
thm	SALMONELLA THOMPSON	Salmonella Thompson	
sai	STAPHYLOCOCCUS AURICULARIS	Staphylococcus auricularis	
kpn	KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE	Klebsiella pneumoniae ss. pneumoniae	
aes	AEROCOCCUS SANGUICOLA	Aerococcus sanguinicola	
sau	STAPHYLOCOCCUS AUREUS	Staphylococcus aureus	
sdy	STREPTOCOCCUS DYSGALACTIAE	Streptococcus dysgalactiae	
sgc	STREPTOCOCCUS AGALACTIAE	Streptococcus agalactiae	
spy	STREPTOCOCCUS PYOGENES	Streptococcus pyogenes	
nci	NEISSERIA CINEREA	Neisseria cinerea	
cub	CUTIBACTERIUM Sp.	Cutibacterium sp.	
ega	ENTEROCOCCUS GALLINARUM	Enterococcus gallinarum	
psd	STAPHYLOCOCCUS PSEUDINTERMEDIUS	Staphylococcus pseudintermedius	
saj	GRANULICATELLA ADIACENS	Granulicatella adiacens	
paa	PORPHYROMONAS ASACCHAROLYTICA	Porphyromonas asaccharolytica	
evu	ESCHERICHIA VULNERIS	Escherichia vulneris	
sjv	SALMONELLA JAVIANA	Salmonella Javiana	
vei	VEILLONELLA Sp.	Veillonella sp.	
bwa	BILOPHILA WADSWORTHIA	Bilophila wadsworthia	
smb	SALMONELLA MBANDAKA	Salmonella Mbandaka	
mma	MYCOBACTERIUM MARINUM	Mycobacterium marinum	
cpd	CORYNEBACTERIUM PSEUDODIPHTHERITICUM	Corynebacterium pseudodiphtheriticum	
smo	SALMONELLA MONTEVIDEO	Salmonella Montevideo	
sbl	SALMONELLA BLOCKLEY	Salmonella Blockley	
mge	MYCOBACTERIUM GENAVENSE	Mycobacterium genavense	
plo	PREVOTELLA LOESCHEII	Prevotella loescheii	
ppt	PEPTOSTREPTOCOCCUS Sp.	Peptostreptococcus sp.	
msh	MYCOBACTERIUM SHIMOIDEI	Mycobacterium shimoidei	
sit	STAPHYLOCOCCUS INTERMEDIUS	Staphylococcus intermedius	
cgy	CORYNEBACTERIUM GLUCURONOLYTICUM	Corynebacterium glucuronolyticum	
tya	TRICHOPHYTON YAOUNDEI	Trichophyton yaoundei	
com	COMAMONAS Sp.	Comamonas sp.	
sag	SALMONELLA AGONA	Salmonella Agona	
cut	CANDIDA UTILIS	Candida utilis	
afl	ASPERGILLUS FLAVUS	Aspergillus flavus	
bgl	BURKHOLDERIA GLADIOLI	Burkholderia gladioli	
cho	CARDIOBACTERIUM HOMINIS	Cardiobacterium hominis	
eub	EUBACTERIUM Sp.	Eubacterium sp.	
fus	FUSARIUM Sp.	Fusarium sp.	
sau	METICILLINRESISTENTE STAPHYLOCOCCUS AUREUS (MRSA)	Staphylococcus aureus	
kpn	KLEBSIELLA PNEUMONIAE MED PRODUKSJON AV ESBLCARBA	Klebsiella pneumoniae	
lac	LACTOBACILLUS	Lactobacillus sp.	
sta	STAPHYLOCOCCUS PETTENKOFERI	Staphylococcus sp.	
vei	VEILLONELLA ATYPICA	Veillonella sp.	
smu	STREPTOCOCCUS MUTANS GRUPPEN	Streptococcus mutans	
cic	CLOSTRIDIUM INOCUUM	Clostridium innocuum	
stt	STAPHYLOCOCCUS PASTAURI	Staphylococcus pasteuri	
com	COMAMONAS KERSTERSII	Comamonas sp.	
ps-	PSEUDOMONAS	Pseudomonas sp.	
ne-	NEISSERIA ANIMALORIS	Neisseria sp.	
act	ACTINOMYCES ORIS	Actinomyces sp.	
chb	CHRYSEOBACTERIUM	Chryseobacterium sp.	
yer	YERSINIA	Yersinia sp.	
ac-	ACINETOBACTER	Acinetobacter sp.	
afa	ALCALIGENES FAECALIS	Alcaligenes faecalis (odorans)	
abx	ACINETOBACTER COMPLEX	Acinetobacter calcoaceticus-baumannii complex	
cub	CUTIBACTERIUM GRANULOSUM	Cutibacterium sp.	
svi	STREPTOCOCCUS VIRIDANS	Streptococcus viridans, alpha-hem.	
